,city,lon,lat,max_temp,humidity,cloudiness,wind_speed,country,date,hotel_name,hotel_address,hotel_rating
0,Bilma,12.9164,18.6853,100.51,7,22,6.85,NE,1620843605,Expeditions Ténére voyages,Bilma,4.8
1,Tessalit,1.0114,20.1986,104.27,6,36,11.88,ML,1620843682,,,
2,Benjamín Hill,-111.1,30.1667,82.47,9,0,8.88,MX,1620843760,Hotel Benjamín Hill,"Sin nombre No. 12 LB, INFONAVIT, Benjamín Hill",
3,Ati,18.3353,13.2154,97.07,18,68,4.0,TD,1620843925,,,
4,Qena,32.7183,26.1615,87.12,11,0,10.07,EG,1620844003,"Grand hotel ""Quena""","Al Gomhoureya, Qism Qena, Qena",3.7
5,Saint George,-113.5841,37.1041,71.4,12,1,1.01,US,1620843881,Best Western Plus Abbey Inn,"1129 South Bluff Street, St. George",4.6
6,Adrar,-10.0711,20.5022,99.86,8,0,15.86,MR,1620844078,,,
7,Arlit,7.3853,18.7369,101.08,5,10,6.58,NE,1620844158,Case de Passage De la Prefecture,"RN25, Arlit",4.5
8,Iranshahr,60.6848,27.2025,88.36,12,0,13.8,IR,1620844226,پلکه بزرگ,ايرانشهر، ايرانشهر، استان سیستان و بلوچستان، ايرانشهر، استان سیستان و بلوچستان، ايرانشهر،، فلکه ایران پیما،، فلکه ایران پیما،،,
9,Atar,-13.0499,20.5169,99.48,9,5,15.23,MR,1620844231,Oumou Elghoura,"Mbarka Oumara Derriere l'hopital regional, Atar",3.4
10,Goundam,-3.6708,16.4145,101.41,9,83,8.57,ML,1620844232,,,
11,Hurricane,-113.2899,37.1753,69.46,10,1,4.0,US,1620844168,Super 8 by Wyndham Hurricane Zion National Park,"65 South 700 West, Hurricane",3.5
12,Yorkton,-102.4677,51.2167,63.93,14,20,8.05,CA,1620844308,Redwood Motel,"317 Broadway Street West, Yorkton",3.2
13,Marrakesh,-8.0083,31.6315,80.65,16,0,6.91,MA,1620844311,Novotel Marrakech Hivernage,"Quartier De, Rue Haroun Errachid, Marrakech",4.2
14,Cocorit,-109.9667,27.5833,94.66,14,5,7.31,MX,1620844396,Kaba Motel,"carretera internacional km 9.5 nte, Esperanza",4.1
15,Ubari,12.7805,26.5921,93.56,8,3,11.39,LY,1620844459,فندق أوباري,"Unnamed Road, أوباري،",2.8
16,Dutse,9.3392,11.7594,93.07,20,21,7.83,NG,1620844550,Central Mosque Galamawa,Nigeria,
17,Azare,10.1948,11.6765,94.35,20,86,9.4,NG,1620844625,Muk hostel,"Aminu saleh college of education, Azare",
