,city,lon,lat
0,Hobart,147.3294,-42.8794
1,Talnakh,88.3972,69.4865
2,Ulladulla,150.4667,-35.35
3,Thompson,-97.8558,55.7435
4,San Andrés,-81.7006,12.5847
5,Nemuro,145.575,43.3236
6,Tshikapa,20.8,-6.4167
7,Albany,-73.9662,42.6001
8,Stornoway,-6.3865,58.2093
9,Mataura,168.8643,-46.1927
10,Kavieng,150.7967,-2.5744
11,Tighnabruaich,-5.2398,55.9016
12,Murgab,61.9714,37.4966
13,Dikson,80.5464,73.5069
14,Bethel,-73.414,41.3712
15,Kamenka,42.7678,51.3223
16,Burnie,145.9167,-41.0667
17,Ponta do Sol,-17.1,32.6667
18,Atuona,-139.0333,-9.8
19,Pisco,-76.2167,-13.7
20,Saint Paul Harbor,-152.4072,57.79
21,Río Gallegos,-69.2181,-51.6226
22,Fare,-151.0167,-16.7
23,Saskylakh,114.0833,71.9167
24,Ushuaia,-68.3,-54.8
25,Vieste,16.175,41.8825
26,Busselton,115.3333,-33.65
27,Narrabri,149.7833,-30.3167
28,Arraial do Cabo,-42.0278,-22.9661
29,Upernavik,-56.1549,72.7868
30,Bluff,168.3333,-46.6
31,Hermanus,19.2345,-34.4187
32,Barrow,-156.7887,71.2906
33,Port Alfred,26.891,-33.5906
34,Punta Arenas,-70.9167,-53.15
35,Ovalle,-71.2003,-30.5983
36,Flinders,150.8552,-34.5833
37,Hov,10.3519,60.6987
38,Kericho,35.2831,-0.3677
39,Tura,90.2201,25.5198
40,Hasaki,140.8333,35.7333
41,Nanortalik,-45.2371,60.1432
42,Isangel,169.2667,-19.55
43,Chui,-53.4616,-33.6971
44,Iquitos,-73.2472,-3.7481
45,Torbay,-52.7314,47.6666
46,Mar del Plata,-57.5575,-38.0023
47,Boca do Acre,-67.3978,-8.7522
48,Sambava,50.1667,-14.2667
49,Severo-Kuril'sk,156.125,50.6789
50,Port Elizabeth,25.5701,-33.918
51,Qeshm,56.2719,26.9581
52,Nuuk,-51.7216,64.1835
53,Miandrivazo,45.4667,-19.5167
54,Grand Gaube,57.6608,-20.0064
55,Leningradskiy,178.4167,69.3833
56,Hilo,-155.09,19.7297
57,Castro,-50.0119,-24.7911
58,Touho,165.2333,-20.7833
59,Rikitea,-134.9692,-23.1203
60,Naze,129.4833,28.3667
61,Alice Springs,133.8833,-23.7
62,George Town,100.3354,5.4112
63,Kirakira,161.9205,-10.4544
64,Bredasdorp,20.0403,-34.5322
65,Prachuap Khiri Khan,99.75,12.2167
66,Turinsk,63.696,58.0458
67,Juan Lacaze,-57.4381,-34.4342
68,San Patricio,-97.5169,28.017
69,Neosho,-94.368,36.869
70,São Filipe,-24.4956,14.8961
71,Geraldton,114.6,-28.7667
72,Zheleznodorozhnyy,38.0042,55.7503
73,Pevek,170.3133,69.7008
74,Airai,125.4092,-8.9266
75,Maués,-57.7186,-3.3836
76,Caravelas,-39.2481,-17.7125
77,Yangi Marg`ilon,71.7189,40.4272
78,Constitución,-72.4167,-35.3333
79,Nikolskoye,30.7861,59.7035
80,Anadyr,177.4833,64.75
81,Lompoc,-120.4579,34.6391
82,Avarua,-159.775,-21.2078
83,Frutal,-48.9406,-20.0247
84,Taguatinga,-46.5711,-12.3857
85,Kalabo,22.6814,-14.97
86,Schattdorf,8.6547,46.8655
87,East London,27.9116,-33.0153
88,São João da Barra,-41.0511,-21.6403
89,Narsaq,-46.05,60.9167
90,Tautira,-149.15,-17.7333
91,Gravdal,13.5031,68.1214
92,Balotra,72.2333,25.8333
93,Riyadh,46.7219,24.6877
94,Coyhaique,-72.0662,-45.5752
95,Comodoro Rivadavia,-67.5,-45.8667
96,Vaini,-175.2,-21.2
97,Tuktoyaktuk,-133.0374,69.4541
98,Longyearbyen,15.6401,78.2186
99,Portland,-122.6762,45.5234
100,Khatanga,102.5,71.9667
101,Samarai,150.6667,-10.6167
102,Saint-Philippe,55.7679,-21.3585
103,Saint-Pierre,55.4781,-21.3393
104,Yerbogachën,108.0108,61.2767
105,Chail,81.6333,25.4333
106,Mujiayingzi,118.7833,42.1167
107,Hong Kong,114.1577,22.2855
108,Guerrero Negro,-114.0611,27.9769
109,Iqaluit,-68.5145,63.7506
110,New Norfolk,147.0587,-42.7826
111,Hervey Bay,152.8535,-25.2986
112,Hamilton,-84.5333,39.1834
113,Gusau,6.6614,12.1628
114,Petra,35.4793,30.3222
115,Pangnirtung,-65.7125,66.1451
116,Sena Madureira,-68.6569,-9.0656
117,Ngama,17.1667,11.7833
118,Havre-St-Pierre,-63.5986,50.2334
119,Kapaa,-159.319,22.0752
120,Saucillo,-105.2833,28.0167
121,Lebu,-73.65,-37.6167
122,Ucluelet,-125.5528,48.9329
123,Vryburg,24.7284,-26.9566
124,Lázaro Cárdenas,-102.2,17.9583
125,Markova,24.4138,48.6758
126,Palmer,-72.3287,42.1584
127,North Battleford,-108.2847,52.7834
128,Christchurch,172.6333,-43.5333
129,Jamestown,-79.2353,42.097
